站點名稱,城市,AQI,狀態
中山,臺北市,46,良好
士林,臺北市,43,良好
淡水,新北市,32,良好
林口,新北市,39,良好
菜寮,新北市,38,良好
新莊,新北市,47,良好
板橋,新北市,43,良好
土城,新北市,41,良好
新店,新北市,40,良好
汐止,新北市,52,普通
基隆,基隆市,37,良好
屏東(枋山),屏東縣,63,普通
臺南（南化）,臺南市,55,普通
新北(樹林),新北市,44,良好
台中市（和平區）,臺中市,19,良好
屏東（琉球）,屏東縣,99,普通
南投（鹿谷）,南投縣,35,良好
高雄（湖內）,高雄市,112,對敏感族群不健康
宜蘭（三星）,宜蘭縣,16,良好
員林,彰化縣,57,普通
大城,彰化縣,76,普通
富貴角,新北市,58,普通
麥寮,雲林縣,67,普通
關山,臺東縣,23,良好
馬公,澎湖縣,63,普通
金門,金門縣,82,普通
馬祖,連江縣,81,普通
埔里,南投縣,57,普通
復興,高雄市,109,對敏感族群不健康
永和,新北市,41,良好
竹山,南投縣,59,普通
中壢,桃園市,52,普通
三重,新北市,53,普通
冬山,宜蘭縣,24,良好
宜蘭,宜蘭縣,22,良好
陽明,臺北市,40,良好
花蓮,花蓮縣,23,良好
臺東,臺東縣,33,良好
恆春,屏東縣,36,良好
潮州,屏東縣,83,普通
屏東,屏東縣,84,普通
小港,高雄市,111,對敏感族群不健康
前鎮,高雄市,104,對敏感族群不健康
前金,高雄市,84,普通
左營,高雄市,110,對敏感族群不健康
楠梓,高雄市,104,對敏感族群不健康
林園,高雄市,113,對敏感族群不健康
大寮,高雄市,102,對敏感族群不健康
鳳山,高雄市,104,對敏感族群不健康
仁武,高雄市,108,對敏感族群不健康
橋頭,高雄市,109,對敏感族群不健康
美濃,高雄市,73,普通
臺南,臺南市,131,對敏感族群不健康
安南,臺南市,99,普通
善化,臺南市,142,對敏感族群不健康
新營,臺南市,84,普通
嘉義,嘉義市,85,普通
臺西,雲林縣,60,普通
朴子,嘉義縣,75,普通
新港,嘉義縣,82,普通
崙背,雲林縣,66,普通
斗六,雲林縣,69,普通
南投,南投縣,60,普通
二林,彰化縣,59,普通
線西,彰化縣,53,普通
彰化,彰化縣,52,普通
西屯,臺中市,49,良好
忠明,臺中市,43,良好
大里,臺中市,56,普通
沙鹿,臺中市,48,良好
豐原,臺中市,25,良好
三義,苗栗縣,26,良好
苗栗,苗栗縣,53,普通
頭份,苗栗縣,44,良好
新竹,新竹市,49,良好
竹東,新竹縣,25,良好
湖口,新竹縣,43,良好
龍潭,桃園市,43,良好
平鎮,桃園市,46,良好
觀音,桃園市,63,普通
大園,桃園市,48,良好
桃園,桃園市,39,良好
大同,臺北市,53,普通
松山,臺北市,45,良好
古亭,臺北市,37,良好
萬華,臺北市,35,良好
中山,臺北市,48,良好
士林,臺北市,40,良好
淡水,新北市,37,良好
林口,新北市,34,良好
菜寮,新北市,41,良好
新莊,新北市,43,良好
板橋,新北市,47,良好
土城,新北市,45,良好
新店,新北市,43,良好
汐止,新北市,50,良好
基隆,基隆市,40,良好
屏東(枋山),屏東縣,59,普通
臺南（南化）,臺南市,56,普通
新北(樹林),新北市,44,良好
台中市（和平區）,臺中市,18,良好
屏東（琉球）,屏東縣,97,普通
南投（鹿谷）,南投縣,37,良好
高雄（湖內）,高雄市,108,對敏感族群不健康
宜蘭（三星）,宜蘭縣,14,良好
員林,彰化縣,62,普通
大城,彰化縣,76,普通
富貴角,新北市,55,普通
麥寮,雲林縣,67,普通
